Gene	Treatment A label (can include Latex, e.g. (humble $\pi)^{\tau\rho y}$)
SAT2	-1.71
SATB1	-6.65
SATB2	-6.73
SATL1	-1.34
SAV1	-4.96
SAYSD1	5.87
SBDS	-3.67
SBF1	-6.47
SBF2	-0.85
SBK1	-9.5
SBK2	-6.58
SBK3	-2.28
SBNO1	-5.61
SBNO2	-6.51
SBSN	-5.79
SBSPON	-7.93
SC5D	3.6
SCAF1	-3.46
SCAF11	-3.34
SCAF4	3.55
SCAF8	-4.59
SCAI	4.43
SCAMP1	-3.63
SCAMP2	7.88
SCAMP3	3.18
SCAMP4	-5.77
SCAMP5	-3.07
SCAND1	3.47
SCAND3	7.98
SCAP	-1.14
SCAPER	-8.64
SCARA3	-4.37
SCARA5	-1.65
SCARB1	-1.82
SCARB2	8.22
SCARF1	5.69
SCARF2	2.34
SCCPDH	-6.46
SCD	3.7
SCD5	-6.67
SCEL	-4.8
SCFD1	-8.56
SCFD2	-6.93
SCG2	3.18
SCG3	9.61
SCG5	-0.51
SCGB1A1	5.02
SCGB1C1	4.85
SCGB1D1	-9.62
SCGB1D2	-4.42
SCGB1D4	9.4
SCGB2A1	-9.71
SCGB2A2	-3.52
SCGB2B2	-1.69
SCGB3A1	2.32
SCGB3A2	-3.18
SCGN	8.19
SCHIP1	9.35
SCIMP	-3.14
SCIN	-1.17
SCLT1	-0.62
SCLY	-3.65
SCMH1	3.65
SCML1	-4.06
SCML2	2.49
SCML4	0.56
SCN10A	-5.74
SCN11A	-3.59
SCN1A	4.18
SCN1B	-3.94
SCN2A	4.23
SCN2B	2.21
SCN3A	-0.55
SCN3B	-2.01
SCN4A	-3.68
SCN4B	8.09
SCN5A	-1.66
SCN7A	-2.35
SCN8A	-3.89
SCN9A	-4.34
SCNM1	6.56
SCNN1A	2.68
SCNN1B	7.93
SCNN1D	8.25
SCNN1G	5.71
SCO1	8.18
SCO2	5.97
SCOC	-6.66
SCP2	1.15
SCP2D1	8.73
SCPEP1	-9.19
SCRG1	-1.88
SCRIB	-0.93
SCRN1	7.97
SCRN2	-4.3
SCRN3	7.67
SCRT1	1.4
SCRT2	-8.76
SCT	-4.56
SCTR	4.95
SCUBE1	4.14
SCUBE2	3.87
SCUBE3	0.83
SCXA	-7.52
SCXB	5.8
SCYL1	9.14
SCYL2	-0.96
SCYL3	5.57
SDAD1	-7.3
SDC1	5.92
SDC2	3.87
SDC3	5.24
SDC4	-0.32
SDCBP	9.48
SDCBP2	-1.8
SDCCAG3	6.99
SDCCAG8	-9.88
SDE2	7.68
SDF2	-6.28
SDF2L1	-3.55
SDF4	-6.62
SDHA	2.51
SDHAF1	-3.58
SDHAF2	1.21
SDHB	-3.43
SDHC	9.19
SDHD	5.32
SDK1	3.56
SDK2	1.81
SDPR	-3.29
SDR16C5	-6.25
SDR39U1	-5.1
SDR42E1	-7.57
SDR9C7	8.11
SDS	-2.53
SDSL	-1.69
SEBOX	-3.36
SEC11A	4.53
SEC11C	0.85
SEC13	2.43
SEC14L1	6.83
SEC14L2	-9.92
SEC14L3	-7.32
SEC14L4	8.37
SEC14L5	3.65
SEC14L6	-7.16
SEC16A	-3.65
SEC16B	8.71
SEC22A	0.04
SEC22B	5.53
SEC22C	-3.35
SEC23A	1.28
SEC23B	-9.06
SEC23IP	-8.13
SEC24A	6.4
SEC24B	-8.1
SEC24C	2.11
SEC24D	-1.68
SEC31A	-8.51
SEC31B	8.9
SEC61A1	-2.28
SEC61A2	0.43
SEC61B	-6.39
SEC61G	8.49
SEC62	-5.43
SEC63	2.78
SECISBP2	-1.36
SECISBP2L	3.85
SECTM1	-1.27
SEH1L	6.5
SEL1L	6.76
SEL1L2	-8.48
SEL1L3	9.86
SELE	-7.81
SELENBP1	0.68
SELK	3.23
SELL	-1.11
SELM	5.66
SELO	7.83
SELP	-9.89
SELPLG	6.96
SELRC1	-9.26
SELT	0.39
SELV	-4.03
SEMA3A	9.13
SEMA3B	2.95
SEMA3C	-5.01
SEMA3D	9.38
SEMA3E	0.09
SEMA3F	-0.47
SEMA3G	-1.78
SEMA4A	-0.14
SEMA4B	-4.84
SEMA4C	9.82
SEMA4D	-2.73
SEMA4F	6.18
SEMA4G	-5.28
SEMA5A	-3.12
SEMA5B	-2.04
SEMA6A	-2.68
SEMA6B	7.08
SEMA6C	6.76
SEMA6D	-0.17
SEMA7A	-9.45
SEMG1	-1.1
SEMG2	8.43
SENP1	-4.04
SENP2	0.33
SENP3	9.33
SENP5	4.07
SENP6	-0.9
SENP7	6.58
SENP8	-7.55
SEP15	2.62
SEPHS1	-9.95
SEPHS2	1.95
SEPN1	-0.21
SEPP1	2.6
SEPSECS	-5.98
SEPT1	-8.02
SEPT10	0.83
SEPT11	2.29
SEPT12	5.4
SEPT14	-7.3
SEPT2	1.74
SEPT3	-1.91
SEPT4	-7.93
SEPT5	-6.59
SEPT6	-3.09
SEPT7	-2.37
SEPT8	-7.31
SEPT9	-8.03
SEPW1	-8.82
SERAC1	7.21
SERBP1	-2.01
SERF1A	7.1
SERF1B	-4.75
SERF2	8.89
SERGEF	1.87
SERHL2	-7.83
SERINC1	-6.71
SERINC2	8.38
SERINC3	2.58
SERINC4	-1.64
SERINC5	-1.57
SERP1	-9.99
SERP2	-5.29
SERPINA1	-7.31
SERPINA10	8.29
SERPINA11	7.91
SERPINA12	4.31
SERPINA3	0.75
SERPINA4	-9.89
SERPINA5	-0.52
SERPINA6	9.72
SERPINA7	0.14
SERPINA9	9.28
SERPINB1	-0.92
SERPINB10	-1.48
SERPINB11	-0.37
SERPINB12	2.61
SERPINB13	-0.11
SERPINB2	-2.71
SERPINB3	2.09
SERPINB4	4.48
SERPINB5	-2.07
SERPINB6	-3.4
SERPINB7	-9.33
SERPINB8	-8.06
SERPINB9	8.29
SERPINC1	8.92
SERPIND1	4.05
SERPINE1	-3.83
SERPINE2	-7.39
SERPINE3	-5.2
SERPINF1	0.41
SERPINF2	-2.03
SERPING1	2.4
SERPINH1	5.14
SERPINI1	8
SERPINI2	-5.88
SERTAD1	-3.43
SERTAD2	-5.28
SERTAD3	-5.36
SERTAD4	-2.19
SERTM1	-9.78
SESN1	4.79
SESN2	6.73
SESN3	7.28
SESTD1	-5.93
SET	-6.82
SETBP1	2.85
SETD1A	-3.4
SETD1B	4.17
SETD2	7.4
SETD3	4.41
SETD4	1.27
SETD5	3.99
SETD6	3.48
SETD7	-8.71
SETD8	-2.83
SETD9	-4
SETDB1	-0.77
SETDB2	0.71
SETMAR	5.13
SETSIP	-4.67
SETX	-2.17
SEZ6	-8.31
SEZ6L	-5.38
SEZ6L2	-6.35
SF1	4.15
SF3A1	2.7
SF3A2	-5.61
SF3A3	3.75
SF3B1	-1.62
SF3B14	3.2
SF3B2	8.36
SF3B3	-8.28
SF3B4	3.4
SF3B5	8.42
SFI1	-0.74
SFMBT1	1.45
SFMBT2	-4.37
SFN	-3.98
SFPQ	-3.46
SFR1	5.41
SFRP1	0.66
SFRP2	2.81
SFRP4	6.43
SFRP5	6.45
SFSWAP	2.02
SFT2D1	-8.66
SFT2D2	-6.38
SFT2D3	6
SFTA2	9.42
SFTA3	-9.09
SFTPA1	6.71
SFTPA2	-1.01
SFTPB	-5.47
SFTPC	3.98
SFTPD	-2.81
SFXN1	-6.88
SFXN2	3.69
SFXN3	-8.75
SFXN4	0.99
SFXN5	-6.4
SGCA	8.95
SGCB	0.2
SGCD	5.12
SGCE	0.86
SGCG	-6.77
SGCZ	8.43
SGIP1	3.21
SGK1	-1.15
SGK2	5.09
SGK223	-5.15
SGK3	-7.61
SGK494	-4.72
SGMS1	3.22
SGMS2	-3.8
SGOL1	-6.25
SGOL2	9.43
SGPL1	1.25
SGPP1	-0.34
SGPP2	8.07
SGSH	-4.48
SGSM1	2.15
SGSM2	0.73
SGSM3	-4.74
SGTA	-2.41
SGTB	-3.78
SH2B1	-9.79
SH2B2	-2.75
SH2B3	2.77
SH2D1A	5.93
SH2D1B	-0.49
SH2D2A	9
SH2D3A	-3.38
SH2D3C	9.34
SH2D4A	4.6
SH2D4B	-0.12
SH2D5	-6.77
SH2D6	-8.46
SH2D7	5.85
SH3BGR	-2.05
SH3BGRL	4.88
SH3BGRL2	0.64
SH3BGRL3	2.69
SH3BP1	7.77
SH3BP2	-5
SH3BP4	-9.01
SH3BP5	-9.6
SH3BP5L	9.07
SH3D19	3.57
SH3D21	1.38
SH3GL1	-9.15
SH3GL2	8.57
SH3GL3	8.81
SH3GLB1	0.15
SH3GLB2	9.58
SH3KBP1	-7.39
SH3PXD2A	1.88
SH3PXD2B	-4.91
SH3RF1	2.81
SH3RF2	-5.51
SH3RF3	4.77
SH3TC1	5.5
SH3TC2	7.5
SH3YL1	-7.18
SHANK1	-6.54
SHANK2	3.13
SHANK3	-7.18
SHARPIN	-2.44
SHB	-6.81
SHBG	-8.51
SHC1	-2.84
SHC2	3.05
SHC3	2.27
SHC4	-6.83
SHCBP1	-0.84
SHCBP1L	-5.6
SHD	-3.17
SHE	-1.28
SHF	-3.53
SHFM1	4.72
SHH	-0.3
SHISA2	-5.85
SHISA3	-5.67
SHISA4	3.44
SHISA5	-1.81
SHISA6	-2.03
SHISA7	-7.41
SHISA8	-3.18
SHISA9	-0.07
SHKBP1	-2.84
SHMT1	-6.84
SHMT2	8.93
SHOC2	-1.3
SHOX	-2.5
SHOX2	-0.52
SHPK	-3.23
SHPRH	3.68
SHQ1	-4.96
SHROOM1	1.77
SHROOM2	7.51
SHROOM3	2.02
SHROOM4	-0.45
SI	0.31
SIAE	6.44
SIAH1	0.82
SIAH2	1.35
SIAH3	-2.54
SIDT1	-5.96
SIDT2	-8.98
SIGIRR	-5.86
SIGLEC1	-9.76
SIGLEC10	4.18
SIGLEC11	3.03
SIGLEC12	-8.68
SIGLEC14	-8.38
SIGLEC15	9.8
SIGLEC5	-7.03
SIGLEC6	8.11
SIGLEC7	2.8
SIGLEC8	6.02
SIGLEC9	-6.41
SIGLECL1	1.59
SIGMAR1	8.35
SIK1	9.14
SIK2	7.39
SIK3	-7
SIKE1	2.99
SIL1	8.2
SIM1	-5.45
SIM2	-7.63
SIMC1	7.89
SIN3A	7.4
SIN3B	-0.05
SIPA1	-7.34
SIPA1L1	-2.02
SIPA1L2	-6.56
SIPA1L3	-9.37
SIRPA	5.6
SIRPB1	-5
SIRPB2	-1.27
SIRPD	5.26
SIRPG	9.2
SIRT1	-1.38
SIRT2	-0.52
SIRT3	2.15
SIRT4	-0.85
SIRT5	6.63
SIRT6	-6.06
SIRT7	0.25
SIT1	0.89
SIVA1	-6.71
SIX1	9.81
SIX2	-1.9
SIX3	-8.31
SIX4	1.34
SIX5	6.11
SIX6	0.89
SKA1	-1.28
SKA2	3.33
SKA3	9.49
SKAP1	-6.07
SKAP2	-0.03
SKI	8.86
SKIDA1	6.99
SKIL	-4.29
SKIV2L	9
SKIV2L2	6.64
SKOR1	2.22
SKOR2	9.28
SKP1	-1.32
SKP2	-0.62
SLA	-2.05
SLA2	-2.57
SLAIN1	-2.33
SLAIN2	-9.4
SLAMF1	-5.27
SLAMF6	-8.8
SLAMF7	3.52
SLAMF8	-9.36
SLAMF9	1.52
SLBP	8.92
SLC10A1	-6.45
SLC10A2	-0.45
SLC10A3	1.67
SLC10A4	-7.86
SLC10A5	-9.48
SLC10A6	8.34
SLC10A7	-9.84
SLC11A1	-4.86
SLC11A2	9.02
SLC12A1	7.3
SLC12A2	-3.6
SLC12A3	4.57
SLC12A4	5.53
SLC12A5	-3.2
SLC12A6	3.27
SLC12A7	7.03
SLC12A8	-4.4
SLC12A9	-8.78
SLC13A1	-4.31
SLC13A2	-5.17
SLC13A3	7.2
SLC13A4	4.7
SLC13A5	-9.3
SLC14A1	-3.02
SLC14A2	5.9
SLC15A1	2.19
SLC15A2	9.03
SLC15A3	-6.2
SLC15A4	2.03
SLC15A5	-3.45
SLC16A1	-2.4
SLC16A10	6.06
SLC16A11	4.96
SLC16A12	2.12
SLC16A13	2.93
SLC16A14	-8.12
SLC16A2	1.89
SLC16A3	-5.33
SLC16A4	-4.84
SLC16A5	4.45
SLC16A6	-4.2
SLC16A7	5.51
SLC16A8	-5.69
SLC16A9	1.22
SLC17A1	7.78
SLC17A2	-8.24
SLC17A3	9.01
SLC17A4	2.13
SLC17A5	4.33
SLC17A6	3.24
SLC17A7	4.81
SLC17A8	3.59
SLC17A9	8.72
SLC18A1	3.54
SLC18A2	0.62
SLC18A3	-0.29
SLC18B1	7.5
SLC19A1	1.28
SLC19A2	8.89
SLC19A3	-0.85
SLC1A1	-1.02
SLC1A2	-8.05
SLC1A3	0.78
SLC1A4	8.94
SLC1A5	-6.75
SLC1A6	-8.41
SLC1A7	9.31
SLC20A1	8.61
SLC20A2	4.28
SLC22A1	9.59
SLC22A10	2.21
SLC22A11	7.05
SLC22A12	1.5
SLC22A13	8.16
SLC22A14	9.26
SLC22A15	-9.12
SLC22A16	-3.07
SLC22A17	-6.58
SLC22A18	-7.66
SLC22A18AS	5.76
SLC22A2	-6.61
SLC22A20	3.29
SLC22A23	6.69
SLC22A24	-2.46
SLC22A25	8.3
SLC22A3	-0.69
SLC22A31	3.77
SLC22A4	4.74
SLC22A5	-9.16
SLC22A6	-3.32
SLC22A7	5.59
SLC22A8	-2.2
SLC22A9	0.79
SLC23A1	-5.55
SLC23A2	5.62
SLC23A3	-3.44
SLC24A1	3.99
SLC24A2	0.05
SLC24A3	4.45
SLC24A4	-1.6
SLC24A5	4.83
SLC25A1	7.35
SLC25A10	-5.17
SLC25A11	-4.73
SLC25A12	3.31
SLC25A13	8.69
SLC25A14	0.7
SLC25A15	-1.34
SLC25A16	-0.37
SLC25A17	-3.66
SLC25A18	-5.49
SLC25A19	-1.39
SLC25A2	-4.44
SLC25A20	7.3
SLC25A21	-4.74
SLC25A22	3.11
SLC25A23	-6.79
SLC25A24	-9.39
SLC25A25	-4.19
SLC25A26	-8.8
SLC25A27	4.01
SLC25A28	-6.24
SLC25A29	5.11
SLC25A3	-4.09
SLC25A30	-2.9
SLC25A31	-8.23
SLC25A32	3.78
SLC25A33	-6.26
SLC25A34	-1.05
SLC25A35	-9.74
SLC25A36	1.52
SLC25A37	-3.93
SLC25A38	-6.99
SLC25A39	-8.86
SLC25A4	0.09
SLC25A40	7.72
SLC25A41	-8.83
SLC25A42	3.36
SLC25A43	2.84
SLC25A44	4.82
SLC25A45	0.27
SLC25A46	-6.06
SLC25A47	5.85
SLC25A48	6.26
SLC25A5	2.48
SLC25A51	4.04
SLC25A52	-4
SLC25A53	4.86
SLC25A6	5.84
SLC26A1	4.51
SLC26A10	8.2
SLC26A11	-4.6
SLC26A2	-1.27
SLC26A3	5.54
SLC26A4	-1.49
SLC26A5	5.36
SLC26A6	-4.09
SLC26A7	-5.82
SLC26A8	-8.16
SLC26A9	4.07
SLC27A1	-6.75
SLC27A2	2.17
SLC27A3	-1.45
SLC27A4	3.44
SLC27A5	1.82
SLC27A6	-2.35
SLC28A1	-4.88
SLC28A2	8.72
SLC28A3	-5.62
SLC29A1	3.31
SLC29A2	6.39
SLC29A3	-7.5
SLC29A4	5.34
SLC2A1	3.96
SLC2A10	3.41
SLC2A11	2.66
SLC2A12	-2.31
SLC2A13	7.41
SLC2A14	-2.47
SLC2A2	9.24
SLC2A3	4.32
SLC2A4	-8.4
SLC2A4RG	0.91
SLC2A5	0.45
SLC2A6	7.97
SLC2A7	-1.96
SLC2A8	0.23
SLC2A9	-7.92
SLC30A1	9
SLC30A10	-7.48
SLC30A2	-1.05
SLC30A3	0.93
SLC30A4	-7.6
SLC30A5	5.53
SLC30A6	6.49
SLC30A7	4.66
SLC30A8	-0.62
SLC30A9	7.1
SLC31A1	6.32
SLC31A2	3.54
SLC32A1	7.08
SLC33A1	-3.78
SLC34A1	-7.89
SLC34A2	-6.56
SLC34A3	8.99
SLC35A1	3.92
SLC35A2	9.34
SLC35A3	-2.86
SLC35A4	9.03
SLC35A5	-2.45
SLC35B1	3.12
SLC35B2	7.83
SLC35B3	-0.61
SLC35B4	4.08
SLC35C1	0.54
SLC35C2	6.88
SLC35D1	7.71
SLC35D2	-8.81
SLC35D3	3.02
SLC35E1	0.52
SLC35E2	4.36
SLC35E2B	6.93
SLC35E3	2.4
SLC35E4	8.1
SLC35F1	-1.35
SLC35F2	7.33
SLC35F3	-9.8
SLC35F4	-7.28
SLC35F5	9.53
SLC35F6	-8.9
SLC35G1	0.98
SLC35G2	-7.63
SLC35G3	-8.49
SLC35G4	-9.43
SLC35G5	-5.69
SLC35G6	-2.67
SLC36A1	-3.29
SLC36A2	0.43
SLC36A3	-0.27
SLC36A4	-8.98
SLC37A1	-9.67
SLC37A2	-6.28
SLC37A3	9.3
SLC37A4	-2.95
SLC38A1	-1.66
SLC38A10	5.87
SLC38A11	2.5
SLC38A2	-8.46
SLC38A3	-6.79
SLC38A4	-7.7
SLC38A5	2.23
SLC38A6	-3.06
SLC38A7	8.66
SLC38A8	-1.87
SLC38A9	1.63
SLC39A1	4.6
SLC39A10	-4.98
SLC39A11	-4.02
SLC39A12	-7.61
SLC39A13	-4.37
SLC39A14	0.26
SLC39A2	6.14
SLC39A3	6.76
SLC39A4	6.06
SLC39A5	0.3
SLC39A6	3.95
SLC39A7	-7.86
SLC39A8	2.7
SLC39A9	9.68
SLC3A1	9.78
SLC3A2	6.13
SLC40A1	-8.68
SLC41A1	6.15
SLC41A2	-8.8
SLC41A3	0.54
SLC43A1	-9.79
SLC43A2	4.98
SLC43A3	4.8
SLC44A1	2.03
SLC44A2	5.73
SLC44A3	-3.97
SLC44A4	3.66
SLC44A5	-7.08
SLC45A1	6.12
SLC45A2	-4.21
SLC45A3	9.29
SLC45A4	3.45
SLC46A1	-7.11
SLC46A2	-7.41
SLC46A3	-5.08
SLC47A1	-6.7
SLC47A2	-5.53
SLC48A1	-2.05
SLC4A1	-9.6
SLC4A10	-1.9
SLC4A11	8.89
SLC4A1AP	6.35
SLC4A2	-0.83
SLC4A3	-0.23
SLC4A4	-6.74
SLC4A5	5.45
SLC4A7	6.18
SLC4A8	2.7
SLC4A9	-5.01
SLC50A1	6.43
SLC51A	-0.93
SLC51B	-8.13
SLC52A1	9.7
SLC52A2	6.45
SLC52A3	-5.02
SLC5A1	-7.48
SLC5A10	-1.01
SLC5A11	7.2
SLC5A12	2.83
SLC5A2	9.17
SLC5A3	5.36
SLC5A4	2.29
SLC5A5	-2.11
SLC5A6	-5.57
SLC5A7	-1.11
SLC5A8	7.6
SLC5A9	-7.82
SLC6A1	-6.84
SLC6A11	4.44
SLC6A12	-5.42
SLC6A13	6.13
SLC6A14	0.88
SLC6A15	6.82
SLC6A16	-4.06
SLC6A17	-3.01
SLC6A18	-5.24
SLC6A19	0.22
SLC6A2	-7.39
SLC6A20	-8.1
SLC6A3	2.25
SLC6A4	-7.62
SLC6A5	8.28
SLC6A6	-4.66
SLC6A7	2.59
SLC6A8	1.19
SLC6A9	7.24
SLC7A1	-0.08
SLC7A10	6.11
SLC7A11	-4.04
SLC7A13	-1.55
SLC7A14	9.11
SLC7A2	2.58
SLC7A3	4.69
SLC7A4	4.43
SLC7A5	-8.81
SLC7A6	4.09
SLC7A6OS	1.28
SLC7A7	-2.62
SLC7A8	-7.73
SLC7A9	-2.52
SLC8A1	9.06
SLC8A2	-5.68
SLC8A3	-7.65
SLC8B1	-4.11
SLC9A1	-4.47
SLC9A2	2.36
SLC9A3	5.03
SLC9A3R1	7.28
SLC9A3R2	-1.74
SLC9A4	-1.33
SLC9A5	4.35
SLC9A6	-5.3
SLC9A7	-5.85
SLC9A8	-9.57
SLC9A9	-7.65
SLC9B1	-9.83
SLC9B2	-7.14
SLC9C1	-3.95
SLC9C2	-2.97
SLCO1A2	7.19
SLCO1B1	-7.63
SLCO1B3	-5.23
SLCO1B7	8.58
SLCO1C1	-6.93
SLCO2A1	6.2
SLCO2B1	-8.06
SLCO3A1	7.73
SLCO4A1	-0.99
SLCO4C1	1.31
SLCO5A1	3.5
SLCO6A1	-3.45
SLFN11	9.94
SLFN12	6.99
SLFN12L	-2.29
SLFN13	0.19
SLFN14	-6.66
SLFN5	-1.84
SLFNL1	-3.99
SLIRP	2.2
SLIT1	-0.4
SLIT2	2.46
SLIT3	0.14
SLITRK1	-2.57
SLITRK2	7.89
SLITRK3	-6.07
SLITRK4	-2.96
SLITRK5	3.81
SLITRK6	-5.85
SLK	-2.38
SLMAP	6.82
SLMO1	3.44
SLMO2	6.69
SLN	5.1
SLPI	1.85
SLTM	-4.61
SLU7	5.76
SLURP1	7.1
SLX1A	3.68
SLX1B	-5.41
SLX4	8.89
SLX4IP	1.68
SMAD1	-7.03
SMAD2	8.27
SMAD3	3.21
SMAD4	9.95
SMAD5	-9.48
SMAD6	3.69
SMAD7	-3.39
SMAD9	3.67
SMAGP	3.77
SMAP1	-3.48
SMAP2	1.84
SMARCA1	-0.54
SMARCA2	9.91
SMARCA4	6.78
SMARCA5	6.6
SMARCAD1	1.4
SMARCAL1	-6.87
SMARCB1	2.72
SMARCC1	-5.33
SMARCC2	-3.77
SMARCD1	9.24
SMARCD2	3.91
SMARCD3	3.64
SMARCE1	-9.56
SMC1A	6.28
SMC1B	-5.82
SMC2	-7.86
SMC3	-5.23
SMC4	5.41
SMC5	9.01
SMC6	-1.46
SMCHD1	-0.41
SMCO2	-3.21
SMCO3	0.98
SMCO4	-1.18
SMCP	1.59
SMCR8	-8.64
SMCR9	-6.79
SMDT1	8.4
SMEK1	-9.75
SMEK2	6.99
SMG1	8.94
SMG5	-2.58
SMG6	-0.33
SMG7	-5.91
SMG8	4.48
SMG9	-4.41
SMIM1	9.68
SMIM10	-6.29
SMIM11	-6.29
SMIM12	1.33
SMIM13	-1.28
SMIM14	-5.23
SMIM15	9.39
SMIM17	-7.4
SMIM18	-2.07
SMIM19	-1.91
SMIM2	-7.62
SMIM20	-3.98
SMIM21	4.91
SMIM22	3.03
SMIM3	9.97
SMIM4	7.82
SMIM5	-4.64
SMIM6	-7.36
SMIM7	4.62
SMIM8	4.36
SMIM9	-9.24
SMKR1	7.82
SMLR1	-7.77
SMN1	-9.47
SMN2	0.06
SMNDC1	-5.25
SMO	4.47
SMOC1	-1.18
SMOC2	-9.44
SMOX	-7.37
SMPD1	-4.76
SMPD2	-2.58
SMPD3	-2.41
SMPD4	-1.38
SMPDL3A	-3.43
SMPDL3B	-7.86
SMPX	-6.82
SMR3A	3.05
SMR3B	-3.62
SMS	-2.84
SMTN	7.06
SMTNL1	-9.74
SMTNL2	-6.14
SMU1	-5.71
SMUG1	8.83
SMURF1	-4.77
SMURF2	0.18
SMYD1	4.71
SMYD2	6.78
SMYD3	-2.49
SMYD4	-3.21
SMYD5	7.72
SNAI1	-7.6
SNAI2	0.76
SNAI3	7.27
SNAP23	-2.08
SNAP25	6.73
SNAP29	-1.23
SNAP47	-6.79
SNAP91	-2.31
SNAPC1	-7.95
SNAPC2	7.42
SNAPC3	-7.71
SNAPC4	2.32
SNAPC5	5.18
SNAPIN	1.96
SNCA	4.4
SNCAIP	-6.41
SNCB	2.22
SNCG	-4.57
SND1	-3.33
SNED1	-9.67
SNF8	-3.9
SNIP1	9.01
SNN	7.9
SNPH	-5.96
SNRK	5.91
SNRNP200	8.17
SNRNP25	-1.03
SNRNP27	-1.42
SNRNP35	8.6
SNRNP40	-0.73
SNRNP48	3.24
SNRNP70	-6.4
SNRPA	3.54
SNRPA1	3.4
SNRPB	-0.48
SNRPB2	0.46
SNRPC	7.79
SNRPD1	3.39
SNRPD2	9.53
SNRPD3	3.43
SNRPE	-7.28
SNRPF	3.41
SNRPG	8.23
SNRPN	6.53
SNTA1	-4.44
SNTB1	-2.29
SNTB2	5.48
SNTG1	-3.39
SNTG2	-8.39
SNTN	-6.83
SNUPN	8.2
SNURF	7.58
SNW1	7.47
SNX1	8.49
SNX10	6.17
SNX11	7.64
SNX12	0.39
SNX13	-6
SNX14	9.33
SNX15	9.62
SNX16	-2.46
SNX17	-3.37
SNX18	9.88
SNX19	9.69
SNX2	-9.24
SNX20	2.91
SNX21	-7.16
SNX22	-6.82
SNX24	-0.38
SNX25	-7.82
SNX27	-5.64
SNX29	4.3
SNX3	3.75
SNX30	-6.71
SNX31	-2.56
SNX32	-3.42
SNX33	9.61
SNX4	0.69
SNX5	1.56
SNX6	6.86
SNX7	-3.55
SNX8	-2.92
SNX9	5.26
SOAT1	-6.78
SOAT2	6.5
SOBP	-1.31
SOCS1	5.44
SOCS2	2.77
SOCS3	-3.97
SOCS4	-0.58
SOCS5	-0.98
SOCS6	-0.52
SOCS7	-1.43
SOD1	0.55
SOD2	9.07
SOD3	-5.51
SOGA1	0.21
SOGA2	1.7
SOGA3	7.01
SOHLH1	-2.63
SOHLH2	-6.71
SON	-9.45
SORBS1	0.16
SORBS2	6.35
SORBS3	-5.05
SORCS1	-1.06
SORCS2	-4.03
SORCS3	-7.13
SORD	5.45
SORL1	-4.89
SORT1	-2.35
SOS1	-0.29
SOS2	4.73
SOST	5.63
SOSTDC1	-4.78
SOWAHA	4.11
SOWAHB	-0.19
SOWAHC	-0.55
SOWAHD	-3.88
SOX1	3.32
SOX10	5.27
SOX11	4.51
SOX12	2.53
SOX13	6.15
SOX14	-4.29
SOX15	4.92
SOX17	-5.96
SOX18	6.59
SOX2	6.13
SOX21	-4.61
SOX3	5.21
SOX30	3.55
SOX4	0.71
SOX5	-9.81
SOX6	-4.62
SOX7	9.21
SOX8	-1.38
SOX9	7.23
SP1	8.41
SP100	-2.74
SP110	-3.66
SP140	1.29
SP140L	-9.12
SP2	-2.21
SP3	7.74
SP4	9.18
SP5	4.17
SP6	-9.76
SP7	8.47
SP8	5.19
SP9	-2.68
SPA17	5.21
SPACA1	-2.48
SPACA3	3.96
SPACA4	4.28
SPACA5	-3.3
SPACA5B	-1.57
SPACA7	0.13
SPAG1	8.7
SPAG11A	-5.15
SPAG11B	6.33
SPAG16	5.56
SPAG17	6.86
SPAG4	-3.19
SPAG5	-3.03
SPAG6	-1.05
SPAG7	0.76
SPAG8	-2.72
SPAG9	7.98
SPAM1	-3.03
SPANXA1	-8.38
SPANXA2	1.02
SPANXB1	-1.73
SPANXB2	-6.17
SPANXC	2.49
SPANXD	-5.53
SPANXE	6.91
SPANXF1	3.07
SPANXN1	-3.99
SPANXN2	9.05
SPANXN3	1.2
SPANXN4	0.91
SPANXN5	5.33
SPARC	5.02
SPARCL1	-1.16
SPAST	-9.56
SPATA12	6.28
SPATA13	6.25
SPATA16	-6.57
SPATA17	0.48
SPATA18	5.6
SPATA19	1.95
SPATA2	-5.21
SPATA20	7.95
SPATA21	6.22
SPATA22	7.86
SPATA24	5.96
SPATA25	-9.06
SPATA2L	-1.67
SPATA3	6.95
SPATA31A1	3.48
SPATA31A2	6
SPATA31A3	8.66
SPATA31A4	-2.17
SPATA31A5	8.26
SPATA31A6	3.92
SPATA31A7	1.43
SPATA31C1	-2.34
SPATA31C2	-8.22
SPATA31D1	-6.37
SPATA31D3	8.39
SPATA31D4	8.93
SPATA31E1	-2.41
SPATA32	-9.57
SPATA33	7.18
SPATA4	2.06
SPATA5	-5.78
SPATA5L1	7.74
SPATA6	-6.94
SPATA6L	0.56
SPATA7	0.2
SPATA8	-0.35
SPATA9	-1.07
SPATC1	-5.39
SPATC1L	4.95
SPATS1	-4.09
SPATS2	-8.74
SPATS2L	7.58
SPC24	-3.16
SPC25	-8.21
SPCS1	-0.77
SPCS2	1.74
SPCS3	-5.73
SPDEF	-8.1
SPDL1	-0.33
SPDYA	2.58
SPDYC	-5.26
SPDYE1	-4.92
SPDYE2	-0.43
SPDYE2B	2.21
SPDYE3	-0.71
SPDYE4	0.6
SPDYE5	-9.98
SPDYE6	-2.55
SPECC1	3.93
SPECC1L	5.64
